record_type,analysis_family,surface,group,arm,left_arm,right_arm,condition,query_family,stratum,metric,value_pct,estimate_pp,ci95_lower_pp,ci95_upper_pp,row_count,history_cluster_count,bootstrap_samples,bootstrap_seed,source_file
absolute,matched_eight_arm,pooled_A_B,by_arm_condition_query_family,graphiti_memory_16384,,,token_distance_8192,preference_incongruity,,f1,91.25,,,,24,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm_condition_query_family,graphiti_memory_4096,,,delayed_probe,preference_change,,exact_match,12.50,,,,24,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm_condition_query_family,graphiti_memory_4096,,,delayed_probe,preference_change,,f1,12.50,,,,24,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm_condition_query_family,graphiti_memory_4096,,,delayed_probe,preference_incongruity,,exact_match,33.33,,,,24,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm_condition_query_family,graphiti_memory_4096,,,delayed_probe,preference_incongruity,,f1,50.58,,,,24,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm_condition_query_family,graphiti_memory_4096,,,post_update,preference_change,,exact_match,54.17,,,,24,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm_condition_query_family,graphiti_memory_4096,,,post_update,preference_change,,f1,57.92,,,,24,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm_condition_query_family,graphiti_memory_4096,,,post_update,preference_incongruity,,exact_match,70.83,,,,24,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm_condition_query_family,graphiti_memory_4096,,,post_update,preference_incongruity,,f1,81.25,,,,24,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm_condition_query_family,graphiti_memory_4096,,,pre_update,preference_change,,exact_match,83.33,,,,24,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm_condition_query_family,graphiti_memory_4096,,,pre_update,preference_change,,f1,83.33,,,,24,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm_condition_query_family,graphiti_memory_4096,,,pre_update,preference_incongruity,,exact_match,91.67,,,,24,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm_condition_query_family,graphiti_memory_4096,,,pre_update,preference_incongruity,,f1,93.33,,,,24,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm_condition_query_family,graphiti_memory_4096,,,token_distance_4096,preference_change,,exact_match,8.33,,,,24,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm_condition_query_family,graphiti_memory_4096,,,token_distance_4096,preference_change,,f1,11.81,,,,24,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm_condition_query_family,graphiti_memory_4096,,,token_distance_4096,preference_incongruity,,exact_match,16.67,,,,24,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm_condition_query_family,graphiti_memory_4096,,,token_distance_4096,preference_incongruity,,f1,38.33,,,,24,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm_condition_query_family,graphiti_memory_4096,,,token_distance_8192,preference_change,,exact_match,0.00,,,,24,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm_condition_query_family,graphiti_memory_4096,,,token_distance_8192,preference_change,,f1,0.00,,,,24,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm_condition_query_family,graphiti_memory_4096,,,token_distance_8192,preference_incongruity,,exact_match,33.33,,,,24,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
